"well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","assay_type","food_conc_OD","food_type","diluent","drug","concentration_um","drug_prep_method","strain","bleach","well_censor","well_censor_reason","notes","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","assay_bleach","control_median_wormlength_um","median_wormlength_um_delta"
"NJR2_p001_A01","NJR2_2_CB4856","NJR2","p001","A01",20240906,"p001_A01","m2x","20240906-NJR2-p001-m2x_A01.TIF",0.934746235359732,"48h",10,"HB101_10_11_2023","DMSO","Albendazole_B",0,"see notion","CB4856",2,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_3/20240906-NJ-R2-drugresponse/20240906-NJ-R2-p009-m2x_/Analysis-20240912/processed_images/","Albendazole_B_0_CB4856","worm",912.151043293375,900.156565309026,902.896918644022,905.661511347854,910.049428223246,10.6456564174304,916.58662684667,923.506783012857,929.686272560865,0.0116709359658172,6,"NJR2_2",880.044498157112,30.0049300661339
"NJR2_p001_A02","NJR2_2_CX11271","NJR2","p001","A02",20240906,"p001_A02","m2x","20240906-NJR2-p001-m2x_A02.TIF",0.999370277078086,"48h",10,"HB101_10_11_2023","DMSO","Albendazole_B",0,"see notion","CX11271",2,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_3/20240906-NJ-R2-drugresponse/20240906-NJ-R2-p009-m2x_/Analysis-20240912/processed_images/","Albendazole_B_0_CX11271","worm",835.881101297193,793.031299871036,802.879454746087,816.239219875135,845.858994046696,27.7204373036775,855.158349194652,866.654656275909,871.427051513265,0.0331631343987303,9,"NJR2_2",822.016344811928,23.842649234768
"NJR2_p001_A03","NJR2_2_ECA36","NJR2","p001","A03",20240906,"p001_A03","m2x","20240906-NJR2-p001-m2x_A03.TIF",1.02143586253828,"48h",10,"HB101_10_11_2023","DMSO","Albendazole_B",0,"see notion","ECA36",2,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_3/20240906-NJ-R2-drugresponse/20240906-NJ-R2-p009-m2x_/Analysis-20240912/processed_images/","Albendazole_B_0_ECA36","worm",873.030151287557,811.654656311648,822.492644982501,837.888311588921,863.161699547873,47.2924829795929,907.935895528444,926.19364434933,983.91080161979,0.0541705036301957,16,"NJR2_2",855.900516144105,7.26118340376786
"NJR2_p001_A04","NJR2_2_JU775","NJR2","p001","A04",20240906,"p001_A04","m2x","20240906-NJR2-p001-m2x_A04.TIF",0.946298984034833,"48h",10,"HB101_10_11_2023","DMSO","Albendazole_B",0,"see notion","JU775",2,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_3/20240906-NJ-R2-drugresponse/20240906-NJ-R2-p009-m2x_/Analysis-20240912/processed_images/","Albendazole_B_0_JU775","worm",852.075920576577,730.286869043057,772.499299412891,813.304951589458,878.327841942813,58.4515522310869,889.007063503391,907.527074848401,929.743068934945,0.0685989954880245,15,"NJR2_2",859.565462572056,18.7623793707569
"NJR2_p001_A05","NJR2_2_MY16","NJR2","p001","A05",20240906,"p001_A05","m2x","20240906-NJR2-p001-m2x_A05.TIF",0.934018851756641,"48h",10,"HB101_10_11_2023","DMSO","Albendazole_B",0,"see notion","MY16",2,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_3/20240906-NJ-R2-drugresponse/20240906-NJ-R2-p009-m2x_/Analysis-20240912/processed_images/","Albendazole_B_0_MY16","worm",891.581374019682,820.800257610183,838.376139995752,872.811198084783,898.071838686949,34.8771950988415,915.336933482952,930.30249887676,944.573036571355,0.0391183532038114,18,"NJR2_2",876.563762732596,21.5080759543529
"NJR2_p001_A07","NJR2_2_CB4856","NJR2","p001","A07",20240906,"p001_A07","m2x","20240906-NJR2-p001-m2x_A07.TIF",0.900468384074941,"48h",10,"HB101_10_11_2023","DMSO","Albendazole_B",30,"see notion","CB4856",2,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_3/20240906-NJ-R2-drugresponse/20240906-NJ-R2-p009-m2x_/Analysis-20240912/processed_images/","Albendazole_B_30_CB4856","worm",639.846537803194,587.586098836307,621.906186528996,626.711844668108,637.565172152153,20.0865929012211,653.486060844047,665.188246591031,675.066506517607,0.0313928289276755,22,"NJR2_2",880.044498157112,-242.479326004959
"NJR2_p001_A08","NJR2_2_CX11271","NJR2","p001","A08",20240906,"p001_A08","m2x","20240906-NJR2-p001-m2x_A08.TIF",0.989740301378647,"48h",10,"HB101_10_11_2023","DMSO","Albendazole_B",30,"see notion","CX11271",2,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_3/20240906-NJ-R2-drugresponse/20240906-NJ-R2-p009-m2x_/Analysis-20240912/processed_images/","Albendazole_B_30_CX11271","worm",825.013787019292,773.615034825817,784.843391123981,792.016215868148,824.251862995756,41.1598510459272,849.290064579525,867.416215995873,891.849630406674,0.0498898948036183,8,"NJR2_2",822.016344811928,2.23551818382828
"NJR2_p001_A09","NJR2_2_ECA36","NJR2","p001","A09",20240906,"p001_A09","m2x","20240906-NJR2-p001-m2x_A09.TIF",0.933496532027744,"48h",10,"HB101_10_11_2023","DMSO","Albendazole_B",30,"see notion","ECA36",2,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_3/20240906-NJ-R2-drugresponse/20240906-NJ-R2-p009-m2x_/Analysis-20240912/processed_images/","Albendazole_B_30_ECA36","worm",620.401299683103,568.994279096014,570.423673752786,602.496388675237,621.596521620674,34.3737237537465,638.981245277809,666.087432354818,674.626755147956,0.0554056282140356,11,"NJR2_2",855.900516144105,-234.303994523431
"NJR2_p001_A10","NJR2_2_JU775","NJR2","p001","A10",20240906,"p001_A10","m2x","20240906-NJR2-p001-m2x_A10.TIF",0.903140370790768,"48h",10,"HB101_10_11_2023","DMSO","Albendazole_B",30,"see notion","JU775",2,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_3/20240906-NJ-R2-drugresponse/20240906-NJ-R2-p009-m2x_/Analysis-20240912/processed_images/","Albendazole_B_30_JU775","worm",631.907017926001,589.983655729802,603.422308079907,615.307682347444,628.983107251838,25.414086974547,649.443729718628,661.839146097528,681.077036571355,0.0402180799604969,14,"NJR2_2",859.565462572056,-230.582355320218
"NJR2_p001_A11","NJR2_2_MY16","NJR2","p001","A11",20240906,"p001_A11","m2x","20240906-NJR2-p001-m2x_A11.TIF",0.947230320699708,"48h",10,"HB101_10_11_2023","DMSO","Albendazole_B",30,"see notion","MY16",2,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_3/20240906-NJ-R2-drugresponse/20240906-NJ-R2-p009-m2x_/Analysis-20240912/processed_images/","Albendazole_B_30_MY16","worm",892.206975649182,852.22831888533,855.519796014573,869.917321363461,896.81194911846,27.3217422803478,913.623415243026,921.044782704804,926.295615085524,0.0306226503782579,10,"NJR2_2",876.563762732596,20.2481863858634
